,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1, , .1,Attend.,Notes
49,"Sat, Apr 7, 2018",8:30 pm,New Orleans Pelicans,126.0,Golden State Warriors,120.0,Box Score,,19596.0,
50,"Sat, Apr 7, 2018",8:30 pm,Oklahoma City Thunder,108.0,Houston Rockets,102.0,Box Score,,18055.0,
51,"Sat, Apr 7, 2018",3:30 pm,Denver Nuggets,134.0,Los Angeles Clippers,115.0,Box Score,,16166.0,
52,"Sat, Apr 7, 2018",7:30 pm,Milwaukee Bucks,115.0,New York Knicks,102.0,Box Score,,19812.0,
53,"Sat, Apr 7, 2018",9:00 pm,Portland Trail Blazers,105.0,San Antonio Spurs,116.0,Box Score,,18610.0,
54,"Sun, Apr 8, 2018",1:00 pm,Atlanta Hawks,112.0,Boston Celtics,106.0,Box Score,,18624.0,
55,"Sun, Apr 8, 2018",1:00 pm,Indiana Pacers,123.0,Charlotte Hornets,117.0,Box Score,,16629.0,
56,"Sun, Apr 8, 2018",6:00 pm,Utah Jazz,112.0,Los Angeles Lakers,97.0,Box Score,,18997.0,
57,"Sun, Apr 8, 2018",3:30 pm,Detroit Pistons,117.0,Memphis Grizzlies,130.0,Box Score,,16044.0,
58,"Sun, Apr 8, 2018",1:00 pm,Dallas Mavericks,97.0,Philadelphia 76ers,109.0,Box Score,,20846.0,
59,"Sun, Apr 8, 2018",9:00 pm,Golden State Warriors,117.0,Phoenix Suns,100.0,Box Score,,18055.0,
60,"Sun, Apr 8, 2018",6:00 pm,Orlando Magic,101.0,Toronto Raptors,112.0,Box Score,,19948.0,
61,"Mon, Apr 9, 2018",7:30 pm,Chicago Bulls,105.0,Brooklyn Nets,114.0,Box Score,,16187.0,
62,"Mon, Apr 9, 2018",9:00 pm,Portland Trail Blazers,82.0,Denver Nuggets,88.0,Box Score,,17467.0,
63,"Mon, Apr 9, 2018",7:00 pm,Toronto Raptors,108.0,Detroit Pistons,98.0,Box Score,,17529.0,
64,"Mon, Apr 9, 2018",10:30 pm,New Orleans Pelicans,113.0,Los Angeles Clippers,100.0,Box Score,,15742.0,
65,"Mon, Apr 9, 2018",7:30 pm,Oklahoma City Thunder,115.0,Miami Heat,93.0,Box Score,,19600.0,
66,"Mon, Apr 9, 2018",8:00 pm,Orlando Magic,86.0,Milwaukee Bucks,102.0,Box Score,,18717.0,
67,"Mon, Apr 9, 2018",8:00 pm,Memphis Grizzlies,94.0,Minnesota Timberwolves,113.0,Box Score,,17641.0,
68,"Mon, Apr 9, 2018",7:30 pm,Cleveland Cavaliers,123.0,New York Knicks,109.0,Box Score,,19449.0,
69,"Mon, Apr 9, 2018",8:30 pm,Sacramento Kings,85.0,San Antonio Spurs,98.0,Box Score,,18418.0,
70,"Tue, Apr 10, 2018",7:30 pm,Philadelphia 76ers,121.0,Atlanta Hawks,113.0,Box Score,,15673.0,
71,"Tue, Apr 10, 2018",8:30 pm,Phoenix Suns,124.0,Dallas Mavericks,97.0,Box Score,,20041.0,
72,"Tue, Apr 10, 2018",7:00 pm,Charlotte Hornets,119.0,Indiana Pacers,93.0,Box Score,,17331.0,
73,"Tue, Apr 10, 2018",10:30 pm,Houston Rockets,105.0,Los Angeles Lakers,99.0,Box Score,,18997.0,
74,"Tue, Apr 10, 2018",9:00 pm,Golden State Warriors,79.0,Utah Jazz,119.0,Box Score,,18306.0,
75,"Tue, Apr 10, 2018",8:00 pm,Boston Celtics,101.0,Washington Wizards,113.0,Box Score,,18887.0,
76,"Wed, Apr 11, 2018",8:00 pm,Brooklyn Nets,97.0,Boston Celtics,110.0,Box Score,,18624.0,
77,"Wed, Apr 11, 2018",8:00 pm,Detroit Pistons,119.0,Chicago Bulls,87.0,Box Score,,21342.0,
78,"Wed, Apr 11, 2018",8:00 pm,New York Knicks,110.0,Cleveland Cavaliers,98.0,Box Score,,20562.0,
79,"Wed, Apr 11, 2018",10:30 pm,Los Angeles Lakers,115.0,Los Angeles Clippers,100.0,Box Score,,19068.0,
80,"Wed, Apr 11, 2018",8:00 pm,Toronto Raptors,109.0,Miami Heat,116.0,Box Score,OT,19600.0,
